text,label
i am cozy and my kids are fast asleep to this amazing set list thanks for sharing,positive
whenever im stressed i always come back to this playlist it gives me a very nostalgic liminal yet peaceful vibe that makes me feel like im in the bridge between dreaming and reality 3,positive
this is exactly the kind of lofi i love thanks,positive
to this day they say our legend bart is still pouring that cup o coffee,neutral
legends says bart still pours the coffee in the mug,neutral
each of the facial expressions in the animationhits me when i actually start understanding what am readingstudying have a blessed day,positive
this is so amazing i love how peaceful this was to listen to thanks so much,positive
it doesnt matter what language do you speak lofi connects everyone from any side of the world ,positive
i love lofi beats just helps me get through the day and stay productive with my own music thanks for this man,positive
really feeling chilled after listening to this chilling music,positive
this is perfect for a good nap after lunch,positive
it’s midnight again and the deadline is looming luckily there is a brand new compilation album “12 am study session” and with the help of 26 enchanting new beats from various talented artists around the world the task at hand feels a lot smoother join lofi girl in her study and finish that project together tonight,positive
studying doesnt always go the way we want it to but as long as we each have a few chill lofi beats at 12 am we can do it,positive
hurting somebodys feelings is easy as throwing a rock in the ocean but do you know how deep that rock goes,negative
this feels like falling into a void but not a black void but beautiful colors and you feel a sense of tranquility 3,positive
i love just chillin out with a coffee and my thoughts with this music playing in the background its nice to stop and smell the roses sometimes life goes by so quick take some time to yourself to just reflect and be greatful for the good in your life  ,positive
you reading this you who commented you who just read through and scrolled thank you hang in there were strangers but i’m glad youre alive pull through okay you got this ,positive
which hour should we do next ,neutral
i just recently discovered this genre and these channels helps me so much with stress and anxiety huge thanks to all involved artists and stay healthy you all,positive
super excited to be a part of this always a real special occasion when the lofi girl compilations are released some really talented producers on here ,positive
if youre reading this its too late i already sent good vibes your way theres nothing you can do stop them ,positive
it’s that time of the night again when everyone is asleep except for a selected few who are still studying vibing and thinking about life “4 am study session” is a beautiful collection of soft beats by a multitude of talented artists from around the world it’s getting late so best to grab a pair of your favourite headphones and let the relaxing sounds of lofi slowly take over ,positive
well its 4am and youre still studying your getting things done and if no one has told you yet im proud of you ,positive
if you need to study and you’re scrolling instead here’s your gentle reminder to get back to work you got this,positive
i love how the lofi community has chill and nontoxic people its a place where i feel safe and comfortable hope you have a great daynight and dont forget to take care of yourself 3,positive
coming back to this after knowing i passed all my exams it’s giving me goosebumps thank you  to who ever reads this 20212022 is going to be our year to shine,positive
yall stop im literally crying reading these comments i love so many of you and i hope you guys have the best life ever you all deserve it so fucking much and i appreciate all of you please make sure to never overwork yourself and your all perfect just the way you guys are i love you all and have good nights 3,positive
the seasons don’t arrive til chillhop says so enjoy this summer soundtrack as you should family ,positive
shout out to all the listeners and artists involved in this incredible release hyped to be a part of it,positive
this is such a seemingly small thing but i love that there are so many indoor summer scenes i relate to those a lot more than being out in the sun all the time ,positive
this community is just incredible everyone is friendly and this music is like a heaven ,positive
can’t wait for the new mix to drop i can feel that this summer’s going to be good despite what’s happening in the world  edit i know that the mix is already out i just want to clear any confusion by saying that i made this comment before this mix was released have a nice day ,positive
the visuals always on point can’t wait to play this in my classroom for summer school students always ask “coach where’s mr fox music” ,positive
im normally not a fan of high temps but this makes me want to chill somewhere sunny with an iced drink,positive
can’t wait to listen to some summer beats to heat me up during the cold winter  keep up the great work chillhop ,positive
it is a pity that i was in school when this happened and i missed this premiere but so far i am loving this playlist amazing work once again chillhop,positive
this channel always has the best music for studying definitely using this to study japanese later have a good day everyone ,positive
thanks for including somewhere known and aloud d happy to be apart of a great selection of tunes,positive
sorry to disturb your scroll we dont know each other but i wish you all the best in life and may all things work out in your favor,positive
it is better to take many small steps in the right direction than to make a great leap forward only to stumble backward,positive
dont worry about the sunset because the sun will rise and bring with it hope new optimism ,positive
to the person reading this good luck dont stress everything will be fine no matter what difficulty you are facing right now you can overcome it you are strong and brave,positive
this is so positive and relaxing the jazz music i love it gives me beautiful thoughts,positive
your support means more than the world to us if you love this mix be sure to check out our spotify playlists for all of your favorite dreamhop music on the go,positive
this channel feels like fragments of a ghibli movie with each playlist we get a new scene amazing visuals to match the songs ,positive
it doesnt matter what language do you speak lofi connects everyone from any side of the world,positive
these visuals are giving me ori and the blind forest vibes and i love it,positive
dreamhop music is honestly the soundtrack to my life i listen to a different selection of mixes everyday and it’s a perfect background accompaniment for when i’m cooking doing housework working playing with my toddler or just enjoying a cuppa tea and relaxing for a bit my little boy wakes from his naps everyday to see dreamhop music playing on the tv and it lets him wake up so calmly and gently we love the characters too and make up many little stories about them together thank you so much for being such a calming presence in my life and to all the amazing artists too can’t wait to learn the backstory of your characters and if ever you release any soft toys or merch you’ll definitely have a customer over here thank you from me and my 3 year old ,positive
i started studying again after almost ten years of working had a lot of trouble finding my concentration and mood for it but your channel helped me a lot getting back into it so thanks very much for the vibing and relaxing music you put out,positive
literally my fav lofi channel thanks for helping me study and stay calms,positive
your unique visuals really add an additional layer of entertainment and sets a whole vibes to your work always a pleasure listening to your work keep it up dreamhop,positive
your mixes are so relaxing they make my mind feel at ease anytime anywhere thanks for showing us this masterpiece i love it ,positive
its always a calm day when dreamhop releases a new mix ,positive
to the person who is reading this comment its okay its alright to feel lonely sometimes if you are going through tough times keep pushing through but never give up i wish you great success in health love and happiness,positive
thank you for this mix to anyone reading this have a great daynight,positive
love it i hope everyone here is doing well and if not better times lie ahead,positive
it doesnt matter what language do you speak lofi connects everyone from any side of the world ,positive
i love lofi beats just helps me get through the day and stay productive with my own music thanks for this man,positive
i have to admit lofi music kept me sane through the lock downs great music to de stress yourself,positive
allow yourself to be the relaxed and cheerful person the world needs 3,positive
pretty good one this is relaxing my day a lot thank you so much for had created it greetings from brasil,positive
this sets such a pleasant vibe for work thank you ,positive
calmness is a nice balance to chaos let everyone in this calm mindset be given stress relief energy,positive
chill drive  lofi hip hop radio lofi music to relaxstudy to,neutral
it’s so important to just listen to some chill music and get away from any stress that you are dealing with life is too short to always be on the go and and worrying take some time to yourself,positive
amei essa playlist definitivamente vou ouvir mais de uma vez 3,neutral
success is no accident it is hard work perseverance learning studying sacrifice and most of all love of what you are doing or learning to do,positive
a lot of ppl in the comments have been talking about how they have been really sad recently and how this music really helped and i just want to say you are loved and to cheer up its going to be okay have a nice day and remember to take care of yourself to the best of your ability ♡,positive
after a long tiring day when i listen to this song i feel like i can immediately forget all the troubles of life hope you will make more quality products like this,positive
i’m listening to this rn for a 6 hour study session my favorite to listen to it’s so peaceful,positive
this has actually made me focus usually i dont get than deep into studying but this helped me so much tysm 3,positive
wow this music is the most relaxing of all these study music series ive listened to over the years thank you little soul and cheers from orlando florida,positive
i listen to this when i do my homework and helps me study a lot so i recommend this for studying too,positive
its so peaceful i love it,positive
the picture makes me feel so safe and comforted and at peace then again that basically sums up the lofi community lol thanks for another great mix love u guys ,positive
i love working in the shop while having music from this cannel playing in the background it helps me to relax and be creative,positive
what should the next mix be titled  listen to on spotify,neutral
the perfect playlist to recenter before another busy week i hope everyone had a great weekend ,positive
kpop raps ballad country music or any kind of music or song nothing can beat lofi it takes me to a different dimensions where i am the main character it takes me to a place ive never been with but the feeling feels home ,positive
i love that music is like a universal language many people can interpret it differently but it all sounds the same to us and we can all understand it anyway to whoever reading this have an amazing day or night and just know that i love you 3,positive
this is a truly beautiful mix of lofi as well as the illustration,positive
